=========================================
== CST Matrix Calculation Priority Log ==
=========================================
Priorities are sorted in ascending order beginning with the lowest priority
 
Group | Shape-ID | ShapeName | Material | User-priority | 2D/3D-Geometry | Material-attributes | Shape-attributes | Feature-ID | Schemetype
1 | 10 | </cst/Boundaries/> Low^X | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 11 | </cst/Boundaries/> Low^Y | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 12 | </cst/Boundaries/> Low^Z | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 13 | </cst/Boundaries/> Up^X | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 14 | </cst/Boundaries/> Up^Y | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 15 | </cst/Boundaries/> Up^Z | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
2 | 8 | </cst/Ports/> 1^t0 | Aluminum | n/a | no | pec.rho.surface-impedance. | edge-element.wire. | n/a | FIT_TD
2 | 9 | </cst/Ports/> 1^t1 | Aluminum | n/a | no | pec.rho.surface-impedance. | edge-element.wire. | n/a | FIT_TD
3 | 1 | component1:boom | Wood | n/a | yes | dispersive-mue.normal.rho. | solid. | n/a | FIT_TD
4 | 2 | component1:dipol | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
4 | 7 | component1:dipol (Lump 2) | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
4 | 3 | component1:direk1 | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
4 | 4 | component1:direk2 | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
4 | 5 | component1:direk3 | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
4 | 6 | component1:reflector | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
=========================================
